Screenshot,image,Film,Scene #,Timestamp,Seconds,,,,
HARD-03142,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03142/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.022013889,1902,,,,
HARD-03150,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03150/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.022106481,1910,,,,
HARD-03154,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03154/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.022152778,1914,,,,
HARD-03158,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03158/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.022199074,1918,,,,
HARD-03202,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03202/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.02224537,1922,,,,
HARD-03220,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03220/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.022453704,1940,,,,
HARD-03239,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03239/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.022673611,1959,,,,
HARD-03358,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03358/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.023587963,2038,,,,
HARD-03359,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03359/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.027766204,2399,,,,
HARD-03407,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03407/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.02369213,2047,,,,
HARD-03412,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03412/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.02375,2052,,,,
HARD-03500,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03500/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.024305556,2100,,,,
HARD-03509,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03509/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.024409722,2109,,,,
HARD-03515,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03515/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.024479167,2115,,,,
HARD-03526,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03526/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.024606481,2126,,,,
HARD-03552,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03552/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.024907407,2152,,,,
HARD-03558,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03558/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.024976852,2158,,,,
HARD-03602,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03602/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.025023148,2162,,,,
HARD-03612,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03612/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.025138889,2172,,,,
HARD-03621,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03621/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.025243056,2181,,,,
HARD-03627,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03627/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.0253125,2187,,,,
HARD-03631,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03631/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.025358796,2191,,,,
HARD-03655,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03655/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.025636574,2215,,,,
HARD-03712,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03712/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.025833333,2232,,,,
HARD-03803,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03803/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.026423611,2283,,,,
